nome_da_música,nome_do_artista,rank_de_todos_os_tempos,pontuação_da_faixa,reproduções_spotify,contagem_de_playlists_spotify,alcance_das_playlists_spotify,popularidade_no_spotify,contagem_playlists_apple_music,contagem_playlists_deezer,alcance_playlists_deezer
Mood Swings (feat. Lil Tjay),Pop Smoke,317,85.8,"785,016,247","210,669","32,702,397",70,100,8,"33,088"
Fuck Love (feat. Trippie Redd),XXXTENTACION,319,85.6,"1,615,274,494","203,617","35,375,009",79,37,14,"176,966"
Rich Flex,Drake,320,85.5,"812,274,757","185,579","57,165,405",73,116,27,"1,296,204"
Standing Next to You,Jung Kook,321,85.5,"675,865,902","23,181","58,344,509",85,37,49,"6,851,022"
Congratulations,Post Malone,322,85.3,"1,984,802,459","246,374","81,736,432",75,143,41,"337,255"
Do It To It,ACRAZE,324,85.2,"805,019,111","238,887","94,531,613",73,192,105,"1,784,254"
Tusa,KAROL G,323,85.2,"1,497,511,486","157,185","59,187,880",68,232,256,"1,274,272"
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,325,84.8,"1,119,350,842","272,485","46,626,350",71,206,33,"158,712"
Good Good,USHER,326,84.7,"53,825,007","14,742","9,204,769",59,22,7,"543,853"
Austin,Dasha,327,84.6,"273,023,490","17,900","169,190,514",87,99,48,"1,283,979"
Search & Rescue,Drake,329,84.6,"337,858,357","96,709","21,646,810",69,89,15,"535,329"
TULUM,Peso Pluma,328,84.6,"390,182,196","36,912","13,688,250",74,44,16,"2,197,720"
Shivers,Ed Sheeran,330,84.4,"1,568,058,093","188,855","77,441,110",77,263,222,"4,658,778"
Adderall (Corvette Corvette),Popp Hunna,332,84.1,"90,383,224","24,868","4,716,437",45,20,6,"22,115"
Sunroof,Nicky Youre,334,83.8,"890,752,779","104,690","38,444,734",79,149,65,"1,743,336"
Los del Espacio,LIT killah,336,83.3,"373,898,429","53,671","24,287,193",72,42,27,"645,947"
Taste (feat. Offset),Tyga,338,83.1,"1,358,105,253","217,189","31,143,734",69,67,34,"183,823"
MAMIII,Becky G,337,83.1,"911,797,058","80,109","53,928,265",74,125,59,"3,772,475"
Until I Found You,Stephen Sanchez,339,83,"1,020,452,066","169,696","52,678,003",73,75,30,"897,931"
Banana (feat. Shaggy),Conkarah,341,82.7,"27,747,363","9,067","1,365,840",41,12,8,"90,628"
Stick Season,Noah Kahan,342,82.6,"965,865,213","113,676","169,323,128",86,148,85,"16,767,304"
Need To Know,Doja Cat,344,82.5,"1,178,076,856","164,743","42,269,625",71,195,38,"870,717"
kompa pasiï¿½,ýýýýýýýýýý,345,82.5,"29,458,027","2,602","6,588,032",78,9,6,"73,462"
Quï¿½ï¿½ Ago,Yuridia,343,82.5,"394,381,902","22,919","12,262,540",73,24,18,"2,340,656"
Last Last,Burna Boy,346,82.4,"410,722,289","130,203","16,877,163",68,203,30,"258,278"
500lbs,Lil Tecca,349,82.1,"350,584,176","79,228","26,972,646",68,19,5,"31,145"
Knife Talk (with 21 Savage ft. Project Pat),Drake,348,82.1,"732,652,170","217,189","35,225,322",72,67,10,"74,228"
BILLIE EILISH.,Armani White,350,82,"359,416,593","91,114","29,730,236",64,40,18,"137,293"
ýýýýýýýýýýýý,YOASOBI,351,81.8,"356,559,943","47,785","12,078,942",69,59,7,"44,834"
Lï¿½ï¿½ï¿½AMOUR DE,Billie Eilish,352,81.6,"84,575,291","5,186","51,449,432",85,95,19,"2,682,503"
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,353,81.5,"406,319,778","42,283","16,439,412",80,50,2,"2,456"
Madonna,Natanael Cano,354,81.3,"272,838,329","7,265","54,631,978",85,23,10,"2,210,844"
deja vu,Olivia Rodrigo,355,81.3,"1,606,975,517","172,376","64,346,126",80,206,27,"76,887"
CONTIGO (with Tiï¿½ï¿½,KAROL G,357,81,"162,165,853","10,306","87,901,542",85,66,45,"4,652,694"
WILDFLOWER,Billie Eilish,359,80.8,"100,838,516","5,188","50,795,354",87,76,16,"4,083,154"
Doja,Central Cee,360,80.5,"676,519,766","192,241","57,503,569",74,66,31,"877,441"
Kill This Love,BLACKPINK,361,80.4,"820,840,650","63,934","18,843,601",67,67,25,"237,406"
Lan,Zeynep Bastï¿½,362,80.3,"81,246,715","4,073","6,852,706",72,11,5,"1,585,206"
"Good Luck, Babe!",Chappell Roan,363,80.2,"176,290,078","13,470","157,502,211",87,99,65,"10,743,893"
Sweet but Psycho,Ava Max,365,80.1,"1,668,741,024","174,052","42,966,784",76,192,106,"1,172,519"
Hey Mor,Ozuna,364,80.1,"986,132,265","97,956","68,983,561",76,79,41,"3,780,470"
Ferrari,James Hype,366,80.1,"626,010,147","185,422","78,359,363",74,132,76,"1,468,578"
Falling,Trevor Daniel,367,80,"1,606,023,895","225,643","32,822,629",71,115,195,"454,460"
positions,Ariana Grande,368,80,"1,432,830,108","139,215","53,934,095",74,283,43,"242,610"
Where Are You Now,Lost Frequencies,370,79.9,"1,223,329,465","211,823","114,773,091",74,256,158,"4,728,637"
Save Your Tears,The Weeknd,371,79.9,"1,995,511,952","304,456","63,126,296",80,285,46,"105,227"
Happier Than Ever,Billie Eilish,372,79.9,"1,321,878,145","189,487","51,228,803",78,199,51,"547,449"
This Is What You Came For,Calvin Harris,373,79.8,"1,746,790,923","204,049","117,171,040",79,356,173,"1,609,545"
China,Anuel AA,376,79.5,"1,178,076,574","137,559","58,323,638",68,182,75,"1,424,896"
"\"Let It Go - From \"\"Frozen\"\"/Soundtrack Version\"",Idina Menzel,374,79.5,"759,374,819","64,239","27,371,339",69,151,31,"159,525"
Moonlight,XXXTENTACION,375,79.5,"1,885,431,727","241,112","41,330,643",77,66,41,"344,324"
Smart,LE SSERAFIM,379,79.3,"159,256,689","6,829","20,291,074",74,13,3,"20,293"
That's What I Like,Bruno Mars,378,79.3,"2,075,459,887","209,632","84,707,015",80,142,270,"391,125"
The Business,Tiï¿½ï¿,381,78.3,"1,191,635,193","255,697","78,272,032",70,362,216,"3,941,324"
Ride It,Regard,382,78.2,"1,349,427,877","220,002","106,549,747",76,357,273,"2,339,277"
Mwaki,Zerb,383,77.9,"121,234,000","36,468","76,765,385",42,48,51,"19,833,933"
BICHOTA,KAROL G,385,77.8,"868,091,483","86,379","31,261,057",64,133,38,"1,594,172"
Renklensin,Reynmen,384,77.8,"54,940,563","2,630","6,589,111",75,9,5,"1,585,603"
The Hills,The Weeknd,388,77.5,"2,306,740,926","333,310","91,689,799",80,178,67,"891,934"
Seven (feat. Latto) (Clean Ver.),Jung Kook,389,77.4,"1,673,557,134","15,863","14,237,841",72,57,5,"2,931"
SKINNY,Billie Eilish,390,77.3,"77,212,437","4,083","13,850,203",84,52,12,"1,198,375"
Te Felicito,Shakira,392,77,"719,593,291","74,269","37,254,627",67,98,53,"3,243,848"
Que Onda,Calle 24,393,76.9,"642,548,537","36,781","21,579,429",81,34,23,"8,060,357"
Stumblin' In,CYRIL,394,76.9,"180,784,576","22,208","150,873,146",83,91,117,"31,191,745"
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,396,76.6,"428,164,381","80,340","18,339,674",68,69,41,"1,075,897"
Desesperados,Rauw Alejandro,397,76.6,"1,021,480,638","119,558","50,631,491",78,75,42,"3,476,743"
Sugar,Maroon 5,399,76.6,"1,838,092,894","186,038","69,903,249",75,197,350,"1,067,956"
Old Town Road - Remix,Lil Nas X,404,76.2,"1,527,106,099","186,252","34,012,219",68,263,65,"1,653,659"
Let Me Love You,DJ Snake,403,76.2,"2,147,028,486","205,482","89,333,146",80,239,163,"1,417,821"
Envolver,Anitta,401,76.2,"635,241,142","77,669","44,546,385",65,102,72,"1,135,788"
Oublie-moi,Emkal,405,76,"17,992,999","11,288","327,900",42,1,1,"8,606"
MAESTRO,SEVENTEEN,407,75.7,"35,244,286","1,629","14,912,783",75,15,5,"176,790"
NUEVA VIDA,Peso Pluma,408,75.6,"253,464,894","22,779","10,733,622",76,6,4,"1,599,559"
you broke me first,Tate McRae,409,75.6,"1,439,465,700","169,076","47,204,234",77,238,65,"1,097,172"
Relationship (feat. Future),Young Thug,410,75.5,"458,957,128","89,812","13,215,590",61,1,1,57
Beggin',Mï¿½ï¿½ne,413,75.4,"1,601,293,263","358,760","75,186,063",79,271,168,"2,960,260"
Hawï¿½,Maluma,415,75.3,"1,289,186,767","123,303","48,973,048",73,201,86,"5,370,315"
LA FALDA,Myke Towers,416,75.3,"367,399,860","29,235","106,808,249",82,57,54,"6,789,731"
Cradles,Sub Urban,418,75.2,"737,097,685","155,765","20,317,539",68,19,14,"41,677"
Roses - Imanbek Remix,SAINt JHN,417,75.2,"1,927,961,994","323,997","86,092,004",72,387,285,"2,691,423"
Angel Numbers / Ten Toes,Chris Brown,419,75.1,"179,565,178","40,225","15,526,253",75,54,25,"454,601"
Under The Influence,Chris Brown,423,74.9,"1,249,760,413","202,465","56,664,631",79,186,60,"1,734,864"
Life Goes On,Oliver Tree,424,74.8,"568,230,113","142,225","16,247,309",68,46,19,"356,456"
BATTER UP,BABYMONSTER,426,74.5,"121,497,542","6,748","14,377,499",80,12,3,"212,538"
SI NO ES CONTIGO,Cris Mj,427,74.5,"45,287,928","2,099","98,932,469",81,21,9,"2,032,136"
Trance (with Travis Scott & Young Thug),Metro Boomin,429,74.4,"637,325,281","142,076","31,958,929",79,35,9,"948,806"
Rock and A Hard Place,Bailey Zimmerman,430,74.4,"412,845,771","59,749","11,166,198",73,37,4,"2,647"
Wanna Be,GloRilla,433,74.1,"66,836,198","4,228","57,383,746",77,37,5,"1,421,437"
Don't Let Me Down,The Chainsmokers,432,74.1,"1,888,829,482","206,507","80,884,955",76,4,101,"784,557"
DDU-DU DDU-DU,BLACKPINK,434,74,"701,726,499","51,129","14,859,569",65,55,13,"200,165"
telepatï¿½,Kali Uchis,435,73.9,"1,151,629,030","201,783","55,679,157",77,164,63,"488,896"
Wake Me Up,Avicii,436,73.7,"2,325,017,580","347,004","112,575,684",81,302,213,"1,715,157"
Overdrive (feat. Norma Jean Martine),Ofenbach,437,73.6,"232,417,498","20,983","96,389,865",80,60,83,"27,260,772"
Chulo pt.2,Bad Gyal,438,73.6,"318,567,928","42,351","29,908,589",69,43,28,"608,263"
All Girls Are The Same,Juice WRLD,439,73.5,"1,615,353,665","219,797","40,289,611",76,37,25,"136,348"
Push Up - Main Edit,Creeds,441,73.4,"274,229,438","81,319","88,956,153",77,31,66,"1,432,651"
Kings & Queens,Ava Max,440,73.4,"955,439,608","130,031","24,897,061",73,175,123,"2,128,228"
Adore You,Harry Styles,442,73.2,"1,670,164,200","171,120","93,127,826",78,254,131,"1,195,898"
HIGHEST IN THE ROOM,Travis Scott,443,73.2,"1,625,149,693","304,394","58,905,241",78,211,67,"491,690"
UNAVAILABLE (feat. Musa Keys),Davido,444,73.2,"155,390,490","51,032","16,505,336",68,99,33,"903,393"
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,446,73,"1,570,233,605","37,830","10,568,342",65,215,82,"1,470,481"
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,448,73,"419,016,792","24,878","16,888,060",42,13,5,"48,194"
ADIVINO,Myke Towers,449,72.9,"118,631,919","11,425","115,304,111",84,75,39,"3,931,309"
THE BOX MEDLEY FUNK 2,THE BOX,450,72.8,"51,390,127","3,010","33,303,786",78,18,31,"9,657,358"
Cruel Summer,Taylor Swift,451,72.8,"2,188,247,133","121,479","201,964,859",88,273,122,"21,554,174"
Unforgettable,French Montana,454,72.6,"2,065,697,126","275,044","91,691,537",82,191,114,"739,260"
EASY,LE SSERAFIM,455,72.4,"141,803,939","7,192","20,908,017",78,20,4,"169,894"
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,456,72.2,"434,019,386","47,202","14,298,402",70,48,7,"79,313"
Lose My Breath (Feat. Charlie Puth),Stray Kids,457,72,"29,994,527","1,665","25,533,535",57,12,7,"477,416"
Move,Adam Port,459,71.9,"5,917,083","1,348","19,711,644",67,45,14,"669,637"
F.N,Lil Tjay,461,71.7,"731,933,924","186,835","18,420,557",70,40,12,"37,259"
Say You Won't Let Go,James Arthur,462,71.5,"2,830,962,669","233,504","128,647,419",82,218,114,"616,176"
Blank Space,Taylor Swift,463,71.5,"1,829,733,410","157,465","49,558,504",76,154,107,"566,690"
Girls Like You,Maroon 5,464,71.4,"399,689,964","43,481","8,855,966",63,8,6,"167,434"
HUMBLE.,Kendrick Lamar,466,71.4,"2,226,869,580","311,766","77,191,099",80,357,111,"657,065"
Forget Me,Lewis Capaldi,465,71.4,"343,556,188","53,783","14,916,823",69,76,25,"1,291,476"
Scared To Start,Michael Marcagi,469,71.2,"284,119,669","23,417","101,687,677",84,71,59,"8,912,821"
Super Freaky Girl,Nicki Minaj,468,71.2,"549,382,975","88,241","44,497,733",64,93,32,"1,112,754"
Miracle (with Ellie Goulding),Calvin Harris,470,71.1,"425,999,315","91,229","100,955,340",74,183,132,"4,296,671"
Somebody That I Used To Know,Gotye,471,71,"1,752,826,514","352,833","87,651,528",74,202,115,"967,797"
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,474,70.6,"1,859,886,400","161,156","90,365,431",78,2,110,"964,719"
Oh No,Kreepa,473,70.6,"40,284,121","14,548","3,212,878",41,15,12,"240,117"
Pop Out (feat. Lil Tjay),Polo G,472,70.6,"858,059,276","181,654","27,803,039",70,46,16,"326,481"
7 Years,Lukas Graham,475,70.5,"1,916,203,330","218,955","70,223,741",78,176,62,"247,841"
Something in the Orange,Zach Bryan,478,70.4,"891,578,597","134,151","56,220,971",82,78,37,"4,894,376"
AMARGURA,KAROL G,477,70.4,"629,102,459","31,206","51,913,972",81,45,30,"3,549,738"
"\"Happy - From \"\"Despicable Me 2\"\"\"",Pharrell Williams,476,70.4,"1,379,786,786","204,118","68,556,599",75,453,293,"1,837,708"
Bailando Bachata,Chayanne,479,70.2,"136,724,343","15,391","18,104,979",72,18,25,"1,739,239"
Treat You Better,Shawn Mendes,481,70.2,"2,164,074,552","183,260","79,238,401",80,110,370,"421,827"
Feliz Cumpleaï¿½ï¿½os Fe,Feid,483,70.1,"944,833,760","84,300","40,737,356",78,58,29,"4,232,864"
Let Her Go,Passenger,484,70.1,"2,252,713,547","84,884","25,149,126",69,153,12,"16,047"
Fall Back,Lithe,485,70.1,"78,227,549","10,811","34,967,691",81,59,7,"10,139,201"
Stressed Out,Twenty One Pilots,482,70.1,"2,313,532,702","333,612","85,684,817",79,10,93,"590,706"
Astronaut In The Ocean,Masked Wolf,486,70,"1,251,675,613","233,472","41,467,312",67,245,65,"1,861,112"
All of Me,John Legend,487,69.8,"2,382,407,025","259,202","144,805,002",80,295,229,"2,030,488"
2055,Sleepy Hallow,488,69.7,"811,700,245","195,603","31,185,690",77,39,18,"217,873"
Bandit,Don Toliver,490,69.6,"152,597,421","19,834","64,067,368",12,27,17,"1,282,315"
Redbone,Childish Gambino,489,69.6,"1,615,152,539","377,159","51,251,842",76,271,69,"241,966"
Yimmy Yimmy,Tayc,491,69.5,"28,543,791","1,305","5,420,569",74,6,3,"452,659"
We Don't Talk About Bruno,Carolina Gaitï¿½ï¿½n - La G,493,69.4,"502,781,351","57,858","20,151,204",68,88,8,"183,506"
You Proof,Morgan Wallen,494,69.3,"644,437,397","64,367","18,795,673",79,49,7,"100,845"
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,495,69.2,"1,502,382,072","240,419","57,503,380",75,118,55,"2,576,050"
Break My Heart,Dua Lipa,496,69.2,"1,198,689,895","130,486","49,149,923",71,203,301,"405,292"
Shut Down,BLACKPINK,497,69,"654,818,451","39,852","17,682,503",67,34,15,"202,016"
Regalo De Dios,Juliï¿½ï¿½n ï¿½ï¿½lvarez y su Norteï,498,68.9,"205,050,873","6,236","32,107,085",81,7,8,"2,174,143"
Never Let Go,Jung Kook,499,68.9,"26,891,849",722,"63,940,453",81,57,25,"2,485,160"
MIA (feat. Drake),Bad Bunny,503,68.7,"1,318,254,846","159,832","44,868,247",71,163,94,"1,189,554"
Toosie Slide,Drake,505,68.7,"1,059,262,917","200,623","36,388,485",64,146,79,"1,163,129"
MIENTRAS ME CURO DEL CORA,KAROL G,506,68.7,"426,341,106","29,511","24,418,991",76,22,18,"2,850,884"
Down Bad,Taylor Swift,504,68.7,"210,385,853","5,179","38,317,286",80,92,6,"2,177,148"
Ballin' (with Roddy Ricch),Mustard,502,68.7,"907,346,612","200,091","36,757,073",69,91,15,"102,131"
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,507,68.5,"33,661,899","3,565","32,881,291",79,8,5,"6,338"
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,509,68.2,"553,783,547","83,450","40,562,156",68,57,25,"274,193"
El Merengue,Marshmello,510,68.2,"528,420,867","59,791","80,570,021",75,84,70,"3,574,930"
Made For Me,Muni Long,513,68.1,"142,945,230","13,253","40,716,529",76,59,41,"9,215,342"
TELEKINESIS,Travis Scott,512,68.1,"313,693,195","92,838","14,575,457",75,17,8,"61,212"
Daqui pra Sempre,Manu,514,68,"181,784,966","12,794","30,495,153",76,17,42,"8,789,193"
Martin & Gina,Polo G,516,68,"885,756,212","212,406","24,064,966",76,46,9,"33,343"
"thank u, next",Ariana Grande,515,68,"1,878,196,824","134,913","54,753,824",73,238,371,"885,834"
One Dance,Drake,518,67.9,"3,192,204,066","379,853","131,832,723",82,550,165,"1,383,884"
ily (i love you baby) (feat. Emilee),Surf Mesa,517,67.9,"912,461,674","160,875","50,549,340",70,210,124,"834,608"
Hope,XXXTENTACION,519,67.8,"1,442,703,001","201,082","35,338,608",78,15,5,"2,958"
TRUSTFALL,P!nk,520,67.6,"255,898,884","35,610","35,412,821",65,80,38,"2,641,584"
Intentions (feat. Quavo),Justin Bieber,521,67.5,"1,177,960,398","124,387","38,596,274",69,250,82,"1,109,498"
PRC,Peso Pluma,522,67.4,"668,103,212","52,040","23,580,184",69,52,4,"1,056,738"
Lemonade,Internet Money,523,67.3,"1,320,495,311","280,937","43,396,860",12,191,67,"1,457,645"
WITHOUT YOU,The Kid LAROI,524,67,"927,908,363","192,182","29,317,288",69,179,41,"391,181"
LET GO,Central Cee,526,66.9,"415,699,405","131,562","25,729,246",70,37,24,"581,393"
Savage (feat. Beyoncï¿½ï¿½) - R,Megan Thee Stallion,528,66.8,"428,986,855","49,403","19,102,863",57,151,60,"136,408"
No Idea,Don Toliver,529,66.8,"922,761,340","176,497","26,466,335",74,99,42,"178,187"
Love Yourself,Justin Bieber,530,66.8,"2,423,583,406","221,550","85,152,861",78,287,114,"644,719"
Tï¿½ï¿½,Fuerza Regida,531,66.7,"188,154,454","6,068","47,264,152",82,32,13,"1,810,337"
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,535,66.4,"1,429,277,695","126,593","41,728,493",71,206,93,"463,563"
Bam Bam (feat. Ed Sheeran),Camila Cabello,539,66.2,"907,821,800","106,835","71,070,491",68,152,98,"2,702,560"
The Motto,Tiï¿½ï¿,540,66.2,"818,199,643","147,373","98,477,761",70,223,129,"3,090,312"
Single Soon,Selena Gomez,538,66.2,"205,555,865","18,831","38,391,532",70,71,42,"8,773,245"
Falling Down - Bonus Track,Lil Peep,541,66.1,"1,156,060,152","189,320","31,366,549",76,31,13,"184,670"
Sin Pijama,Becky G,542,65.9,"785,389,574","70,607","24,678,614",61,86,46,"189,420"
Wasted On You,Morgan Wallen,545,65.7,"717,226,454","73,851","11,500,647",79,41,3,"5,348"
BREAK MY SOUL,Beyoncï¿,544,65.7,"443,564,590","80,121","43,604,917",64,210,73,"1,986,611"
Murder In My Mind,Kordhell,547,65.6,"668,285,368","120,095","62,454,609",74,21,7,"127,461"
Unstoppable,Sia,548,65.5,"1,285,237,951","166,761","75,244,498",76,124,86,"1,468,966"
traitor,Olivia Rodrigo,550,65.5,"1,564,979,439","150,597","73,290,053",80,147,29,"150,235"
goosebumps,Travis Scott,549,65.5,"2,396,737,761","381,756","90,317,118",82,210,82,"2,173,347"
Quï¿½ï¿½ Mï¿½ï¿,J Balvin,552,65.3,"811,810,737","117,049","31,186,381",67,108,34,"1,198,593"
Hrs and Hrs,Muni Long,551,65.3,"241,632,869","58,384","11,312,967",67,38,7,"462,675"
Boy With Luv (feat. Halsey),BTS,553,65,"1,165,842,896","62,333","28,686,399",70,111,31,"612,134"
Angel Baby,Troye Sivan,554,64.9,"533,416,336","51,383","15,263,459",68,49,15,"12,354"
Way 2 Sexy (with Future & Young Thug),Drake,555,64.7,"559,759,920","159,492","30,567,448",67,102,27,"359,622"
SORRY 4 THAT MUCH,Feid,557,64.5,"8,757,910","1,184","87,529,320",71,51,21,"3,488,226"
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,558,64.4,"1,053,626,902","240,281","35,343,056",77,117,50,"1,407,171"
PUFFIN ON ZOOTIEZ,Future,560,64.3,"395,167,576","135,307","21,175,776",71,31,6,"83,735"
3D (feat. Jack Harlow),Jung Kook,559,64.3,"573,249,007","27,154","33,077,841",74,19,30,"1,569,004"
XO Tour Llif3,Lil Uzi Vert,562,64.2,"2,123,458,039","59,071","11,326,598",24,210,21,"230,295"
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,563,64.2,"378,282,960","66,018","36,625,617",65,109,56,"951,077"
Desire (with Sam Smith),Calvin Harris,561,64.2,"226,519,256","43,558","87,204,848",75,89,98,"1,777,050"
Cold Heart - PNAU Remix,Elton John,565,64,"2,011,121,774","314,601","173,805,568",77,441,302,"15,295,344"
Con Altura,ROSALï¿½,566,63.9,"770,653,954","81,459","36,880,651",66,194,81,"940,235"
ýýýýýý (HEYA),IVE,568,63.8,"32,189,908","1,646","17,870,918",60,26,8,"159,862"
LA CANCIï¿½,J Balvin,570,63.8,"1,706,325,903","149,957","78,600,154",79,157,118,"3,592,823"
In My Mind,Dynoro,567,63.8,"1,432,473,324","235,239","70,280,564",74,182,146,"2,190,340"
Chandelier,Sia,569,63.8,"1,729,264,620","171,065","77,207,881",75,216,151,"1,369,282"
Eastside (with Halsey & Khalid),benny blanco,571,63.7,"1,736,530,084","174,867","50,426,363",73,173,51,"518,961"
Godzilla (feat. Juice WRLD),Eminem,572,63.7,"1,456,635,235","241,715","56,568,076",78,76,61,"502,301"
All About That Bass,Meghan Trainor,573,63.6,"815,661,095","92,401","43,164,406",70,130,93,"464,181"
"\"Besharam Rang (From \"\"Pathaan\"\")\"",Vishal-Shekhar,574,63.5,"218,291,402","10,974","8,344,652",66,27,1,"1,097"
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,577,63.3,"979,440,925","257,132","93,789,915",72,286,159,"4,203,809"
VAGABUNDO,Sebastian Yatra,578,63.3,"337,650,898","44,292","44,021,764",75,59,47,"2,145,616"
Cheap Thrills,Sia,580,63.2,"1,779,046,979","161,840","45,579,916",70,196,87,"283,297"
Yummy,Justin Bieber,579,63.2,"792,379,282","96,177","23,338,709",62,171,381,"1,239,061"
On My Mama,Victoria Monï¿½,582,63.1,"119,798,692","16,874","43,909,927",65,55,39,"8,198,464"
Wishing Well,Juice WRLD,583,63.1,"901,486,450","157,381","25,837,638",71,30,36,"101,369"
Too Good At Goodbyes,Sam Smith,584,62.9,"2,061,017,397","157,801","71,564,108",78,174,110,"945,336"
SPECIALZ,King Gnu,585,62.8,"178,413,226","22,972","6,194,085",78,20,5,"29,367"
Ta Ta Ta,Bayanni,586,62.8,"85,207,310","31,737","2,778,661",62,18,7,"248,283"
Un Finde | CROSSOVER #2,Big One,588,62.6,"361,219,290","34,991","12,554,230",72,13,21,"5,312,674"
There's Nothing Holdin' Me Back,Shawn Mendes,589,62.6,"2,043,626,431","185,796","81,455,782",80,190,293,"2,290,114"
Breaking Me,Topic,590,62.5,"1,128,612,961","184,002","50,489,973",69,267,133,"2,501,793"
Belong Together,Mark Ambor,592,62.4,"233,969,547","19,001","153,692,182",87,84,59,"30,602,918"
Shake It Off,Taylor Swift,593,62.3,"1,409,692,678","162,649","73,697,294",74,301,115,"2,264,405"
La Curiosidad,Jay Wheeler,595,62.1,"1,099,019,265","107,383","57,705,968",78,104,23,"1,915,136"
